# DDL
DROP DATABASE coredb
multi_arg_agg2 a=1i,b=1i,c="foo" 0000000000000000005

multi_arg_agg3 a=1i,b=3i,c="foo" 0000000000000000001
multi_arg_agg3 a=0i 0000000000000000002
multi_arg_agg3 a=2i,b=2i,c="bar" 0000000000000000003
multi_arg_agg3 a=3i,b=1i,c="baz" 0000000000000000004

float8_tbl f1=0 0000000000000000001
float8_tbl f1=0.1 0000000000000000002
float8_tbl f1=0.25 0000000000000000003
float8_tbl f1=0.4 0000000000000000004
float8_tbl f1=0.5 0000000000000000005
float8_tbl f1=0.6 0000000000000000006
float8_tbl f1=0.75 0000000000000000007
float8_tbl f1=0.9 0000000000000000008
float8_tbl f1=1 0000000000000000009

int4_tbl2 f1=1i 0000000000000000001
int4_tbl2 f1=2i 0000000000000000002
int4_tbl2 f1=1i 0000000000000000003
int4_tbl2 f1=3i 0000000000000000004
int4_tbl2 f1=2i 0000000000000000005

int4_tbl3 f1=1i 0000000000000000001
int4_tbl3 f1=1i 0000000000000000002
int4_tbl3 f1=2i 0000000000000000003
int4_tbl3 f1=2i 0000000000000000004
int4_tbl3 f1=3i 0000000000000000005
int4_tbl3 f1=3i 0000000000000000006
int4_tbl3 f1=4i 0000000000000000007

int4_tbl4 f1=1i 0000000000000000001
int4_tbl4 f1=1i 0000000000000000002
int4_tbl4 f1=2i 0000000000000000003
int4_tbl4 f1=2i 0000000000000000004
int4_tbl4 f1=3i 0000000000000000005
int4_tbl4 f1=3i 0000000000000000006
int4_tbl4 f1=4i 0000000000000000007
int4_tbl4 f1=5i 0000000000000000008

int8_tbl2 q1=1i,q2=4i 0000000000000000001
int8_tbl2 q1=2i,q2=3i 0000000000000000002
int8_tbl2 q1=3i,q2=1i 0000000000000000003
int8_tbl2 q1=4i,q2=2i 0000000000000000004


# For test aggregates.sql

string_agg1 a1="aaaa",a2="" 0000000000000000001
string_agg1 a1="bbbb",a2="" 0000000000000000002
string_agg1 a1="cccc",a2="" 0000000000000000003

string_agg2 a1="aaaa",a2="" 0000000000000000001
string_agg2 a2="bbbb" 0000000000000000002
string_agg2 a1="bbbb",a2="" 0000000000000000003
string_agg2 a1="cccc",a2="" 0000000000000000004

string_agg3 a2="aaaa" 0000000000000000001
string_agg3 a2="bbbb" 0000000000000000002
string_agg3 a1="bbbb",a2="" 0000000000000000003
string_agg3 a1="cccc",a2=""  0000000000000000004

string_agg4 a2="aaaa" 0000000000000000001
string_agg4 a2="bbbb" 0000000000000000002

generate_series1 a=1i 00000000000001
generate_series1 a=2i 00000000000002
generate_series1 a=3i 00000000000003

infinite1 id=1i,x="1" 00000000000001
infinite1 id=1i,x="infinity" 00000000000002
infinite1 id=2i,x="infinity" 00000000000003
infinite1 id=2i,x="1" 00000000000004
infinite1 id=3i,x="infinity" 00000000000005
infinite1 id=3i,x="infinity" 00000000000006
infinite1 id=4i,x="-infinity" 00000000000007
infinite1 id=4i,x="infinity" 00000000000008

large_input1 id=1i,x=100000003 00000000000001
large_input1 id=1i,x=100000004 00000000000002
large_input1 id=1i,x=100000006 00000000000003
large_input1 id=1i,x=100000007 00000000000004
large_input1 id=2i,x=7000000000005 00000000000005
large_input1 id=2i,x=7000000000007 00000000000006

regr_test1 x=10,y=150 00000000000001
regr_test1 x=20,y=250 00000000000002
regr_test1 x=30,y=350 00000000000003
regr_test1 x=80,y=540 00000000000004
regr_test1 x=100,y=200 00000000000005
 
float8_arr1 id=1i,x="{4,140,2900}" 00000000000001
float8_arr1 id=2i,x="{4,140,2900,1290,83075,15050}" 00000000000002
float8_arr1 id=3i,x="{3,60,200}",y="{0,0,0}" 00000000000003
float8_arr1 id=4i,x="{0,0,0}",y="{2,180,200}" 00000000000004
float8_arr1 id=5i,x="{3,60,200}",y="{2,180,200}" 00000000000005
float8_arr1 id=6i,x="{3,60,200,750,20000,2000}",y="{0,0,0,0,0,0}" 00000000000006
float8_arr1 id=7i,x="{0,0,0,0,0,0}",y="{2,180,200,740,57800,-3400}" 00000000000007
float8_arr1 id=8i,x="{3,60,200,750,20000,2000}",y="{2,180,200,740,57800,-3400}" 00000000000008

boolean1 x2=TRUE,x3=FALSE,y4=TRUE,y5=FALSE,x6=TRUE,y6=TRUE,x7=FALSE,y7=TRUE,x8=FALSE,y8=TRUE,x9=FALSE,y9=FALSE 00000000000001

generate_series2 a=1i 00000000000001
generate_series2 a=2i 00000000000002
generate_series2 a=3i 00000000000003
generate_series2 a=4i 00000000000004
generate_series2 a=5i 00000000000005
generate_series2 a=6i 00000000000006

percentile_disc1 x="{fred,jim,fred,jack,jill,fred,jill,jim,jim,sheila,jim,sheila}" 00000000000001

pg_collation1 x="fred" 00000000000001 
pg_collation1 x="jim" 00000000000002 

test_rank1 x=1i 00000000000001
test_rank1 x=1i 00000000000002
test_rank1 x=2i 00000000000003
test_rank1 x=2i 00000000000004
test_rank1 x=3i 00000000000005
test_rank1 x=3i 00000000000006
test_rank1 x=4i 00000000000007

generate_series3 x=1i 00000000000001
generate_series3 x=2i 00000000000002
generate_series3 x=3i 00000000000003
generate_series3 x=4i 00000000000004
generate_series3 x=5i 00000000000005
generate_series3 x=6i 00000000000006
generate_series3 x=7i 00000000000007

my_avg1 one=1i 00000000000001
my_avg1 one=3i 00000000000002

my_avg2 one=1i,two=2i 00000000000001
my_avg2 one=3i,two=4i 00000000000002

percentile_cont1 a=1i 00000000000001
percentile_cont1 a=3i 00000000000002
percentile_cont1 a=5i 00000000000003
percentile_cont1 a=7i 00000000000004

my_sum1 one=1i 00000000000001
my_sum1 one=2i 00000000000002
my_sum1 one=3i 00000000000003
my_sum1 one=4i 00000000000004

dense_rank1 x=1i 00000000000001
dense_rank1 x=1i 00000000000002
dense_rank1 x=2i 00000000000003
dense_rank1 x=2i 00000000000004
dense_rank1 x=3i 00000000000005
dense_rank1 x=3i 00000000000006

agg_t5 id=1i,a="1.0",b="2.0" 00000000000001
agg_t5 id=2i,a="3.0",b="4.0" 00000000000002
agg_t5 id=3i,a="inf",b="inf" 00000000000003
agg_t5 id=4i,a="nan",b="nan" 00000000000004

agg_t4 id=1i,a="1",b="2",c="3",d="4" 00000000000001
agg_t4 id=2i,a="1",b="inf",c="3",d="inf" 00000000000002
agg_t4 id=3i,a="1",b="nan",c="3",d="nan" 00000000000003


# End for test aggregates.sql


# For test limit.sql

generate_series4 a=1i 1
generate_series4 a=2i 2
generate_series4 a=3i 3
generate_series4 a=4i 4
generate_series4 a=5i 5
generate_series4 a=6i 6
generate_series4 a=7i 7
generate_series4 a=8i 8
generate_series4 a=9i 9
generate_series4 a=10i 10

# End for test limit.sql

# For test prepare.sql

road_tmp a=1i,b=2i 1

# End for test prepare.sql
